# Reference star for x-correlation of stars with good parallax
# P Jofre, Cambridge, Tue Dec  9 13:21:14 2014
star  spec  snr
    HIP67304     ADP.2014-09-18T12:13:56.613.fits   313.45
    HIP68581     ADP.2014-09-18T12:17:21.370.fits   130.50
    HIP68594     ADP.2014-09-18T12:10:22.933.fits   318.50
    HIP68895     ADP.2014-09-17T11:20:35.413.fits   300.85
    HIP69415     ADP.2014-09-18T12:17:25.327.fits   170.95
    HIP69673     ADP.2014-10-01T10:19:26.500.fits   379.00
    HIP70027     ADP.2014-09-23T11:01:03.657.fits   122.05
    HIP70519     ADP.2014-10-07T08:34:52.063.fits   120.75
    HIP70638     ADP.2014-09-18T12:10:42.603.fits   166.35
     HIP7083     ADP.2014-09-17T11:20:58.960.fits   126.95
    HIP71284     ADP.2014-09-18T12:17:38.263.fits   238.45
    HIP71832     ADP.2014-09-23T11:01:48.050.fits   193.55
    HIP72357     ADP.2014-09-18T12:10:11.043.fits   207.90
    HIP72571     ADP.2014-09-23T11:05:56.270.fits   417.90
    HIP72631     ADP.2014-09-17T11:19:48.823.fits   200.65
     HIP7271     ADP.2014-09-18T12:12:23.107.fits    85.65
    HIP73223     ADP.2014-09-18T12:12:13.393.fits   115.75
    HIP73711     ADP.2014-10-06T10:04:13.097.fits    67.70
    HIP74857     ADP.2014-09-18T12:12:50.473.fits   204.45
    HIP75003     ADP.2014-09-18T12:10:37.423.fits    83.90
    HIP76259     ADP.2014-09-23T11:02:43.960.fits   230.55
    HIP76333     ADP.2014-09-18T12:13:53.350.fits   393.60
    HIP76470     ADP.2014-09-23T11:02:43.960.fits   230.55
    HIP78639     ADP.2014-09-18T12:14:30.420.fits   223.15
     HIP7884     ADP.2014-09-18T12:14:14.010.fits   246.00
     HIP8198     ADP.2014-09-18T12:17:11.140.fits   191.95
    HIP82729     ADP.2014-09-18T12:14:20.780.fits   215.05
    HIP83153     ADP.2014-09-18T12:14:15.547.fits   231.00
    HIP85258     ADP.2014-09-17T11:19:48.737.fits   313.30
