# list of HIP stars observed with HARPS with good parallax
# P Jofre, Cambridge, Tue Dec  9 13:21:14 2014
star  ra  dec  Bmag  Vmag  Jmag  Ksmag Plx e_Plx BV  n_obs
    HIP37826   116.32895800    28.02619900    2.150    1.150   -0.315   -0.936   96.740    0.870    0.991     2
    HIP37901   116.50912600    -6.77251200    6.901    5.514    3.174    2.387   13.680    0.920    1.378     5
    HIP38211   117.42167300   -17.22840800    6.489    5.179    3.004    2.246   12.870    0.710    1.282     5
    HIP38375   117.92927200   -21.17366200    6.566    5.619    4.012    3.466   11.900    0.730    0.956     6
    HIP39079   119.93397100    -3.67958500    6.149    4.942    2.996    2.192   13.060    0.960    1.205    10
    HIP41813   127.87328000   -54.39401000    7.660    6.344    4.082    3.256    6.640    0.470    1.298     4
    HIP42497   129.96131400    19.54081300    7.530    6.600  -99.900  -99.900    4.500    1.720    0.956     4
    HIP42516   130.02674100    20.00778900    7.350    6.380  -99.900  -99.900    5.550    0.890    0.980     2
    HIP42549   130.09202800    19.66993900    7.410    6.390  -99.900  -99.900    4.310    0.930    1.020     4
    HIP44716   136.67886100    20.50986200    8.460    7.700    6.105    5.551    2.660    1.290    0.796     1
    HIP44816   136.99899100   -43.43259100    3.943    2.226   -0.539   -1.710    5.690    0.530    1.665     6
    HIP45751   139.94326000   -11.97485100    5.699    4.783    3.403    2.840   10.200    0.830    0.927     5
     HIP4587    14.68278100   -11.37997400    6.562    5.621    3.975    3.381   10.350    0.960    0.949     9
    HIP46026   140.80104600   -28.83387300    5.620    4.729    3.151    2.597   17.920    0.730    0.892     8
    HIP46390   141.89684500    -8.65859900    3.486    2.004   -0.256   -1.127   18.400    0.780    1.440   199
    HIP46880   143.30191500   -21.11572300    6.024    5.008    3.464    2.825    9.760    0.690    1.023     4
    HIP47224   144.36833400   -36.09599600    7.083    5.959    4.193    3.485    9.670    0.680    1.118     5
    HIP47267   144.50605600   -43.19094400    6.487    5.502    4.008    3.352    6.730    0.650    0.985     4
    HIP48559   148.55132900   -25.93234500    6.110    4.880    2.870    2.078    9.710    0.660    1.199     9
    HIP50425   154.44026300    20.00342500    9.640    8.050  -99.900  -99.900    2.680    0.970    1.551    40
    HIP50583   154.99344600    19.84125800    3.200    2.120   -0.180   -0.810   25.960    0.830    1.128    40
    HIP51364   157.37072200   -29.66383100    7.028    5.585    3.412    2.471    8.420    0.650    1.420     3
     HIP5170    16.53209800   -23.99244900    7.179    6.125    4.355    3.689    9.310    0.900    1.076     9
    HIP52085   159.64563700   -16.87657400    5.812    4.913    3.330    2.788   14.520    0.890    0.922     2
    HIP52686   161.60227600    18.89152100    6.655    5.501    3.695    3.030   18.270    0.790    1.134     2
    HIP52943   162.40620300   -16.19364900    4.360    3.110    1.080    0.248   23.540    0.810    1.232     3
    HIP54029   165.81199900   -11.30347200    6.438    5.513    4.091    3.431   10.240    0.880    0.938     3
    HIP54294   166.62203300   -58.67502400    7.310    6.030    4.150    3.280    2.660    0.680    1.210     3
    HIP55282   169.83519800   -14.77853900    4.680    3.560    1.607    0.862   16.750    0.820    1.112    19
    HIP55687   171.15245900   -10.85932200    6.398    4.823    1.928    1.011    8.950    0.740    1.556     3
    HIP59316   182.53116900   -22.61976700    4.375    3.017    0.840   -0.058   10.750    0.710    1.326     7
    HIP60172   185.08742200     3.31257200    6.120    5.000    2.822    2.065   11.430    0.820    1.172     1
    HIP60260   185.34003900   -60.40114700    5.010    3.590    1.226    0.305   14.300    0.560    1.389     3
    HIP61740   189.81152900    -7.99556400    5.904    4.657  -99.900  -99.900   10.240    0.880    1.240   111
    HIP62608   192.43736700   -71.98626000    6.709    5.550    3.695    2.945    6.200    0.540    1.154     3
    HIP62861   193.26735800   -54.95247400    7.245    5.922    3.970    3.039    8.610    0.690    1.309     3
    HIP63608   195.54415800    10.95915000    3.770    2.830    1.312    0.786   31.900    0.870    0.934    16
    HIP64823   199.31511600    13.67575200    6.630    5.330    3.301    2.375   10.940    1.000    1.304     2
    HIP64920   199.59755300   -28.33252000    7.760    6.820    5.033    4.416    5.520    1.010    0.981     2
      HIP655     2.01452800   -33.52932600    6.785    5.668    3.821    3.122   10.020    0.710    1.119    10
     HIP6670    21.40514700   -14.59879600    6.157    4.918    2.562    1.835   11.310    0.680    1.231     9
    HIP67304   206.91058600   -50.32068100    6.821    5.467    2.982    2.054    7.180    0.750    1.351     1
    HIP68581   210.59492400   -27.42977200    6.827    5.476    3.080    2.261    7.510    0.730    1.331     7
    HIP68594   210.63268900     9.68609600    7.100    6.200    4.786    3.731    3.760    0.720    0.853     1
    HIP68895   211.59290600   -26.68236200    4.383    3.263    1.403    0.750   32.170    0.770    1.091    21
    HIP69415   213.19176600   -27.26118200    6.240    5.080    3.044    2.388   14.220    0.980    1.130     3
    HIP69673   213.91530000    19.18240900    1.190   -0.040   -2.250   -2.910   88.850    0.740    1.239     3
    HIP70027   214.93847800    16.30694800    6.100    4.850    2.841    2.141   17.120    0.680    1.228     2
    HIP70519   216.37481800   -43.64359500    8.440    7.680    5.975    5.338    3.810    0.950    0.791     1
    HIP70638   216.73013500   -83.66788500    5.643    4.317    2.027    1.205   11.700    0.490    1.300     4
     HIP7083    22.81293600   -49.07270300    4.940    3.949    2.230    1.638   22.150    0.610    0.972     9
    HIP71284   218.67007100    29.74512700    4.820    4.460    3.561    3.340   64.660    0.720    0.364    16
    HIP71832   220.41145900     8.16176400    5.859    4.865    3.361    2.621    5.660    0.820    0.992     1
    HIP72357   221.93669100   -26.08750000    6.159    5.242    3.564    2.985    9.840    0.760    0.938     4
    HIP72571   222.57212100   -27.96037000    5.810    4.420    1.942    1.108   10.680    0.830    1.366   200
    HIP72631   222.75447000    -2.29915200    5.912    4.930    3.502    2.797   15.090    1.090    0.988    30
     HIP7271    23.41320500   -78.50482100    7.069    6.115    4.444    3.839    7.400    0.520    0.970     7
    HIP73223   224.47076500   -76.66265400    6.844    5.380    2.951    2.092    7.620    0.560    1.442     3
    HIP73711   226.00937300   -54.33917800   10.260    9.060    6.790    5.966    0.970    1.590    1.280     5
    HIP74857   229.45765900   -30.14867100    5.449    4.350    2.490    1.867   10.590    1.000    1.100     3
    HIP75003   229.88217000   -37.09715900    7.133    6.189    4.508    3.890    8.460    0.840    0.959     4
    HIP76259   233.65548600   -28.04696700    6.462    5.142    2.733    1.873    8.840    1.020    1.306     2
    HIP76333   233.88157800   -14.78953500    4.923    3.925    2.144    1.506   21.420    0.900    1.007     5
    HIP76470   234.25604200   -28.13508100    5.017    3.609    1.143    0.325   16.760    0.840    1.361     2
    HIP78639   240.80374100   -49.22969900    5.560    4.648    3.098    2.552   14.970    0.760    0.902     4
     HIP7884    25.35789100     5.48761300    5.829    4.448    2.195    1.357    8.860    0.770    1.347    48
     HIP8198    26.34846600     9.15773700    5.217    4.272    2.571    2.025   12.630    0.860    0.942     8
    HIP82729   253.64585100   -42.36131700    4.990    3.620    1.363    0.429   21.670    0.850    1.393     1
    HIP83153   254.89603700   -53.16043600    5.548    4.068    1.657    0.773   10.720    0.790    1.452     3
    HIP85258   261.32495100   -55.52988500    4.341    2.832    0.545   -0.404    5.410    0.760    1.479     4
    HIP85355   261.62866700     4.14035900    5.856    4.336    1.958    1.093    2.780    0.920    1.480    82
     HIP8552    27.58409200   -47.81639000    7.138    6.148    4.507    3.870    6.650    0.660    0.998     6
    HIP86047   263.77616100   -38.79946900    7.990    6.760    4.625    3.818    9.350    0.880    1.240     9
    HIP86101   263.94760600    19.84376900    7.500    6.520  -99.900  -99.900    8.010    0.860    0.960     8
    HIP86170   264.13676300   -38.63536800    5.356    4.272    2.374    1.696   22.640    0.940    1.075     9
    HIP88635   271.45203400   -30.42409000    3.990    2.990    1.257    0.644   33.940    0.870    0.981     7
     HIP8928    28.73388200   -67.64730400    5.614    4.695    3.046    2.486   15.040    0.470    0.931   198
    HIP89931   275.24851500   -29.82810100    4.124    2.710    0.505   -0.302   10.670    0.930    1.380    10
    HIP89962   275.32750200    -2.89882700    4.200    3.260    1.490    1.050   52.810    0.750    0.941   129
    HIP90238   276.17553200    -7.07593400    7.467    6.296    4.359    3.554   11.620    0.950    1.161     6
    HIP91171   278.99358800     5.41666700   10.080    8.860    6.362    5.607    3.480    1.330    0.860     3
